2019-06-28 17:08:55,824 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[MU5242]出发地[杭州萧山]目的地[太原]延误时间[35],不符合条件</font>
2019-06-28 17:08:55,825 | Spider | INFO  | 更新航班记录成功!
2019-06-28 17:08:55,825 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:08:58,651 | Spider | INFO  | [重庆江北]：机场航班信息获取中...
2019-06-28 17:09:08,052 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:09:13,584 | Spider | INFO  | <font color="green">[HU7758]航班延误时间计算中...</font>
2019-06-28 17:09:13,849 | Spider | INFO  | HU7758 深圳 16:15 17:23
2019-06-28 17:09:13,850 | Spider | INFO  | <font color="red">机场[重庆江北]航班号[HU7758]出发地[重庆江北]目的地[深圳]延误时间[68],不符合条件</font>
2019-06-28 17:09:13,956 | Spider | INFO  | <font color="green">[CA1438]航班延误时间计算中...</font>
2019-06-28 17:09:14,227 | Spider | INFO  | CA1438 北京首都 16:20 19:20
2019-06-28 17:09:14,228 | Spider | INFO  | <font color="green">content:机场[重庆江北]航班号[CA1438]出发地[重庆江北]目的地[北京首都]延误时间[180]</font>
2019-06-28 17:09:14,628 | Spider | INFO  | <font color="green">[CZ3456]航班延误时间计算中...</font>
2019-06-28 17:09:14,804 | Spider | INFO  | CZ3456 深圳 16:35 17:20
2019-06-28 17:09:14,805 | Spider | INFO  | <font color="red">机场[重庆江北]航班号[CZ3456]出发地[重庆江北]目的地[深圳]延误时间[45],不符合条件</font>
2019-06-28 17:09:15,036 | Spider | INFO  | <font color="green">[G52785]航班延误时间计算中...</font>
2019-06-28 17:09:18,055 | Spider | INFO  | G52785 衢州 16:55 18:30
2019-06-28 17:09:18,056 | Spider | INFO  | <font color="red">机场[重庆江北]航班号[G52785]出发地[重庆江北]目的地[衢州]延误时间[95],不符合条件</font>
2019-06-28 17:09:18,143 | Spider | INFO  | <font color="green">[SC4731]航班延误时间计算中...</font>
2019-06-28 17:09:18,312 | Spider | INFO  | SC4731 上海虹桥 18:00 19:00
2019-06-28 17:09:18,313 | Spider | INFO  | <font color="red">机场[重庆江北]航班号[SC4731]出发地[重庆江北]目的地[上海虹桥]延误时间[60],不符合条件</font>
2019-06-28 17:09:18,404 | Spider | INFO  | <font color="green">[CZ3464]航班延误时间计算中...</font>
2019-06-28 17:09:18,595 | Spider | INFO  | CZ3464 广州 18:25 19:25
2019-06-28 17:09:18,596 | Spider | INFO  | <font color="red">机场[重庆江北]航班号[CZ3464]出发地[重庆江北]目的地[广州]延误时间[60],不符合条件</font>
2019-06-28 17:09:18,597 | Spider | INFO  | 更新航班记录成功!
2019-06-28 17:09:18,597 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:09:21,392 | Spider | INFO  | [合肥新桥]：机场航班信息获取中...
2019-06-28 17:09:30,969 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:09:36,216 | Spider | INFO  | <font color="green">[E3826]航班延误时间计算中...</font>
2019-06-28 17:09:36,934 | Spider | INFO  | E3826 曼谷 13:00 17:38
2019-06-28 17:09:36,935 | Spider | INFO  | <font color="green">content:机场[合肥新桥]航班号[E3826]出发地[合肥新桥]目的地[曼谷]延误时间[278]</font>
2019-06-28 17:09:37,278 | Spider | INFO  | 机号为空跳过
2019-06-28 17:09:37,278 | Spider | INFO  | 机号为空跳过
2019-06-28 17:09:37,345 | Spider | INFO  | <font color="green">[HU7441]航班延误时间计算中...</font>
2019-06-28 17:09:37,465 | Spider | INFO  | HU7441 厦门 16:25 18:00
